CAD_E|CAMRB15000403|CASLU2015000301|GREENWOOD|20150107200234|FSR|FIRE, RESIDENTIAL|-120.854895|35.388848|2509 GREENWOOD AVE |MB|550 BLK PAULA ST|500 BLK ELENA ST|611_F_3||||U5332|Command:XSL CMD 4;Pri Tactical:VFIRE22;Alt Tactical:VFIRE24;Air-to-Ground:CDF A/G;//1/8/2015 12:09:03 AM
CAD_U|CAMRB|U5332|ONS|20150107234903|B-11C|15000403|FSR|CASLU2015000301//1/8/2015 12:09:03 AM
CAD_E|CAMRB15000403|CASLU2015000301|GREENWOOD|20150107200234|FSR|FIRE, RESIDENTIAL|-120.854895|35.388848|2509 GREENWOOD AVE |MB|550 BLK PAULA ST|500 BLK ELENA ST|611_F_3||||U5332|Command:XSL CMD 4;Pri Tactical:VFIRE22;Alt Tactical:VFIRE24;Air-to-Ground:CDF A/G;//1/8/2015 12:09:28 AM
CAD_U|CACDF|C406|AIQ|20150107074937|BVHB|||//1/8/2015 12:15:27 AM
CAD_U|CACDF|C406|AIQ|20150107074937|BVHB|||//1/8/2015 12:15:27 AM
CAD_U|CACDF|C406|AIQ|20150107074937|BVHB|||//1/8/2015 12:15:27 AM
CAD_U|CAFKU|D4340|AIQ|20150102074219|FKU-1A|||//1/8/2015 12:15:27 AM
CAD_U|CAFKU|D4340|AIQ|20150102074219|FKU-1A|||//1/8/2015 12:15:27 AM
CAD_U|CAFKU|D4340|AIQ|20150102074219|FKU-1A|||//1/8/2015 12:15:27 AM
CAD_U|CABEU|D4641|AIQ|20150102080000|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|D4641|AIQ|20150102080000|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|D4641|AIQ|20150102080000|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|D4643|AIQ|20141226081807|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|D4643|AIQ|20141226081807|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|D4643|AIQ|20141226081807|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|E4661|AIQ|20150105081835|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|E4661|AIQ|20150105081835|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|E4661|AIQ|20150105081835|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|E4663|AIQ|20140729113127|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|E4663|AIQ|20140729113127|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CABEU|E4663|AIQ|20140729113127|BEU-30|||//1/8/2015 12:15:28 AM
CAD_U|CAFKU|E4352|AIQ|20140917162508|FKU-2|||//1/8/2015 12:15:28 AM
CAD_U|CAFKU|E4352|AIQ|20140917162508|FKU-2|||//1/8/2015 12:15:28 AM
CAD_U|CAFKU|E4352|AIQ|20140917162508|FKU-2|||//1/8/2015 12:15:28 AM
CAD_U|CAFKU|E4353|AIQ|20140917193953|FKU-2|||//1/8/2015 12:15:29 AM
CAD_U|CAFKU|E4353|AIQ|20140917193953|FKU-2|||//1/8/2015 12:15:29 AM
CAD_U|CAFKU|E4353|AIQ|20140917193953|FKU-2|||//1/8/2015 12:15:29 AM
CAD_U|CABEU|E4666|AIQ|20141201102553|BEU-30|||//1/8/2015 12:15:29 AM
CAD_U|CABEU|E4666|AIQ|20141201102553|BEU-30|||//1/8/2015 12:15:29 AM
CAD_U|CABEU|E4666|AIQ|20141201102553|BEU-30|||//1/8/2015 12:15:29 AM
CAD_U|CABEU|E4673|AIQ|20141011214131|BEU-30|||//1/8/2015 12:15:29 AM
CAD_U|CABEU|E4673|AIQ|20141011214131|BEU-30|||//1/8/2015 12:15:29 AM
CAD_U|CABEU|E4673|AIQ|20141011214131|BEU-30|||//1/8/2015 12:15:29 AM
CAD_U|CABEU|E4677|AIQ|20140921025307|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|E4677|AIQ|20140921025307|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|E4677|AIQ|20140921025307|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|E4684|AIQ|20150101123717|BEU-35|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|E4684|AIQ|20150101123717|BEU-35|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB1|AIQ|20150105071314|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB1|AIQ|20150105071314|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB1|AIQ|20150105071314|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB2|AIQ|20150105071324|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB2|AIQ|20150105071324|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB2|AIQ|20150105071324|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB3|AIQ|20150102064024|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB3|AIQ|20150102064024|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB3|AIQ|20150102064024|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB4|AIQ|20150106070903|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB4|AIQ|20150106070903|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB4|AIQ|20150106070903|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB5|AIQ|20150105071342|BEU-30|||//1/8/2015 12:15:30 AM
CAD_U|CABEU|GAB5|AIQ|20150105071342|BEU-30|||//1/8/2015 12:15:31 AM
CAD_U|CABEU|GAB5|AIQ|20150105071342|BEU-30|||//1/8/2015 12:15:31 AM
CAD_U|CABEU|GAB6|AIQ|20150105071352|BEU-30|||//1/8/2015 12:15:31 AM
CAD_U|CABEU|GAB6|AIQ|20150105071352|BEU-30|||//1/8/2015 12:15:31 AM
CAD_U|CABEU|GAB6|AIQ|20150105071352|BEU-30|||//1/8/2015 12:15:31 AM
CAD_U|CAFKU|E4354|AIQ|20141226070632|FKU-1A|||//1/8/2015 12:15:31 AM
CAD_U|CAFKU|E4354|AIQ|20141226070632|FKU-1A|||//1/8/2015 12:15:31 AM
CAD_U|CAFKU|E4363|AIQ|20150107082315|FKU-2|||//1/8/2015 12:15:31 AM
CAD_U|CAFKU|E4363|AIQ|20150107082315|FKU-2|||//1/8/2015 12:15:31 AM
CAD_U|CAFKU|E4363|AIQ|20150107082315|FKU-2|||//1/8/2015 12:15:31 AM
CAD_U|CAFKU|E4371|AIQ|20140917173311|FKU-2|||//1/8/2015 12:15:31 AM
CAD_U|CAFKU|E4371|AIQ|20140917173311|FKU-2|||//1/8/2015 12:15:31 AM
CAD_U|CAFKU|E4371|AIQ|20140917173311|FKU-2|||//1/8/2015 12:15:31 AM
CAD_U|CAFKU|E4382|AIQ|20150105110556|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|E4382|AIQ|20150105110556|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|E4382|AIQ|20150105110556|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|MIR1|AIQ|20150105074953|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|MIR1|AIQ|20150105074953|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|MIR1|AIQ|20150105074953|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|MIR2|AIQ|20150105074954|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|MIR2|AIQ|20150105074954|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|MIR2|AIQ|20150105074954|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|MIR4|AIQ|20150102092404|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|MIR4|AIQ|20150102092404|FKU-2|||//1/8/2015 12:15:32 AM
CAD_U|CAFKU|MIR4|AIQ|20150102092404|FKU-2|||//1/8/2015 12:15:32 AM
CAD_E|CASLU15000405|CASLU||20150108010001|OAM|OTH, MISCELLANEOUS|-120.676175|35.301597|12 @ 635 N SANTA ROSA ST |SLO_CO| CAL FIRE SLU HEADQUARTERS DRIVEWAY| STENNER CREEK|653_H_1|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//1/8/2015 1:00:01 AM
CAD_E|CASLU15000405|CASLU||20150108010001|OAM|OTH, MISCELLANEOUS|-120.676175|35.301597|12 @ 635 N SANTA ROSA ST |SLO_CO| CAL FIRE SLU HEADQUARTERS DRIVEWAY| STENNER CREEK|653_H_1|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//1/8/2015 1:02:06 AM
CAD_U|CACDF|C406|AIQ|20150107074937|BVHB|||//1/8/2015 1:06:26 AM
CAD_U|CACDF|C406|AIQ|20150107074937|BVHB|||//1/8/2015 1:06:26 AM
CAD_U|CACDF|C406|AIQ|20150107074937|BVHB|||//1/8/2015 1:06:26 AM
CAD_U|CABEU|D4641|AIQ|20150102080000|BEU-30|||//1/8/2015 1:06:26 AM
CAD_U|CABEU|D4641|AIQ|20150102080000|BEU-30|||//1/8/2015 1:06:26 AM
CAD_U|CABEU|D4641|AIQ|20150102080000|BEU-30|||//1/8/2015 1:06:26 AM
CAD_U|CABEU|D4643|AIQ|20141226081807|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|D4643|AIQ|20141226081807|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|D4643|AIQ|20141226081807|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CAFKU|D4340|AIQ|20150102074219|FKU-1A|||//1/8/2015 1:06:27 AM
CAD_U|CAFKU|D4340|AIQ|20150102074219|FKU-1A|||//1/8/2015 1:06:27 AM
CAD_U|CAFKU|D4340|AIQ|20150102074219|FKU-1A|||//1/8/2015 1:06:27 AM
CAD_U|CAFKU|E4352|AIQ|20140917162508|FKU-2|||//1/8/2015 1:06:27 AM
CAD_U|CAFKU|E4352|AIQ|20140917162508|FKU-2|||//1/8/2015 1:06:27 AM
CAD_U|CAFKU|E4352|AIQ|20140917162508|FKU-2|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4661|AIQ|20150105081835|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4661|AIQ|20150105081835|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4661|AIQ|20150105081835|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4663|AIQ|20140729113127|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4663|AIQ|20140729113127|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4663|AIQ|20140729113127|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4666|AIQ|20141201102553|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4666|AIQ|20141201102553|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4666|AIQ|20141201102553|BEU-30|||//1/8/2015 1:06:27 AM
CAD_U|CABEU|E4673|AIQ|20141011214131|BEU-30|||//1/8/2015 1:06:28 AM
CAD_U|CABEU|E4673|AIQ|20141011214131|BEU-30|||//1/8/2015 1:06:28 AM
CAD_U|CABEU|E4673|AIQ|20141011214131|BEU-30|||//1/8/2015 1:06:28 AM
CAD_U|CABEU|E4677|AIQ|20140921025307|BEU-30|||//1/8/2015 1:06:28 AM
CAD_U|CABEU|E4677|AIQ|20140921025307|BEU-30|||//1/8/2015 1:06:28 AM
CAD_U|CABEU|E4677|AIQ|20140921025307|BEU-30|||//1/8/2015 1:06:28 AM
CAD_U|CABEU|E4684|AIQ|20150101123717|BEU-35|||//1/8/2015 1:06:28 AM
CAD_U|CABEU|E4684|AIQ|20150101123717|BEU-35|||//1/8/2015 1:06:28 AM
CAD_U|CABEU|GAB1|AIQ|20150105071314|BEU-30|||//1/8/2015 1:06:28 AM
CAD_U|CABEU|GAB1|AIQ|20150105071314|BEU-30|||//1/8/2015 1:06:28 AM
